country_standard,transparency_index_2019,transparency_index_mean,budget_participation_index,budget_participation_index_noNA,budget_transparency_index,budget_transparency_index_noNA,pandemic_dem_violation_index,covid_index,gdp,gini,gdp_percap,gdp_percap_ppp_covid,percap_domestic_health_expenditure,percap_domestic_health_expenditure_ppp,median_age,aged_65_older
Cambodia,0.1370923405560842,0.15821286479358243,0,NA,0,NA,0.2142857142857143,NA,27089389786.979,NA,1643.12138876539,4583.01645053007,19.26422501,55.55650711,25.6,4.412
Cameroon,0.1380748519925905,0.15662474538144794,0,NA,0,NA,0.5,0.017260431734975924,39007354359.2798,46.6,1507.45020591288,3803.45724026778,3.22656012,7.96273899,18.8,3.165
Canada,0.9660028866520669,0.9620172802757931,0.5,0,0.6666666666666666,0.5,0,0.7557417395057808,1736425629519.96,33.3,46194.7252255167,51668.9145456827,3670.84326172,3821.5534668,41.4,16.984
Cape Verde,0.9050890404152616,0.9001877964688736,0,NA,0,NA,NA,0.004592943862824371,1981845740.35828,42.4,3603.78179304514,7489.21150258395,117.23470306,240.3788147,25.7,4.46
Cayman Islands,NA,NA,0,NA,0,NA,NA,NA,5517361237.63423,NA,85975.0247395242,73292.2828214499,NA,NA,NA,NA
Central African Republic,0.13720653673751315,0.2855852148472564,0,NA,0,NA,0.35714285714285715,0.020185753404224016,2220307368.69593,56.2,467.907440636335,986.680896715623,3.36062503,6.07482052,18.3,3.655
Chad,0.11053856549326439,0.11439051757956861,0,NA,0,NA,0.4285714285714286,0.027773869936433028,11314951342.7807,43.3,709.540310138533,1649.52917196648,4.97096872,13.43343544,16.7,2.486
Chile,0.9113419909232564,0.9151131929116713,1,1,0.6666666666666666,0.5,0.14285714285714288,0.7134731774114871,282318159744.65,44.4,14896.4538665789,27002.2617508326,740.00695801,1172.16772461,35.4,11.087
China,0.0865167632286328,0.08400146874748611,0,NA,0,NA,0.5,0.5277259877940975,14342903006431.3,38.5,10261.6792453621,16829.8670782368,282.67977905,527.60229492,38.7,10.641
Colombia,0.5638294456711088,0.5321872541547762,0,NA,0.6666666666666666,0.5,0.14285714285714288,0.5942004486679464,323615979418.651,50.4,6428.67620562768,16012.4457431478,367.49578857,827.43884277,32.2,7.646
Comoros,0.45042732523528217,0.4884421905306202,0,NA,0,NA,NA,0.008843504024225705,1165839927.06327,45.3,1370.14820676715,3194.90074820584,6.04044008,12.42846012,20.4,2.963
Congo - Brazzaville,0.12979104878351988,0.16236788337148644,0,NA,0,NA,0.28571428571428575,0.016295679802705007,12267392146.5888,48.9,2279.96913053355,3835.66258234277,17.46465302,46.07588577,19,3.402
Congo - Kinshasa,0.11692702287436317,0.11453598463686279,0,NA,0,NA,0.6428571428571429,0.02772822900203159,50400746171.4239,42.1,580.716867207745,1146.53586681718,2.79114175,4.6314168,17,3.02
Costa Rica,0.9243864915789832,0.9166771322677603,1,1,0.6666666666666666,0.5,0.2142857142857143,0.49375105063484515,61801385049.0716,48,12243.8114267607,21737.6499065213,658.54821777,967.56591797,33.6,9.468
Côte d’Ivoire,0.5080387730181191,0.319421244093211,1,1,0.6666666666666666,0.5,0.2142857142857143,0.22081945891127483,58539424929.7248,41.5,2276.33327906444,5443.22483894621,20.71104622,50.79077911,18.7,2.933
Croatia,0.8515077199522355,0.8485526677539735,1,1,0.6666666666666666,0.5,0.4285714285714286,0.6514508871312514,60752588976.3175,30.4,14936.100547343,31130.7937700426,843.92785645,1561.09448242,44,19.724
Cuba,0.10976070099607271,0.08672505356498969,0,NA,0,NA,0.4285714285714286,0.6002916570809845,100023000000,NA,8821.8188912500409,NA,877.43902588,2239.78491211,43.1,14.738
Cyprus,0.9184682514163287,0.9143840563827217,0,NA,0,NA,NA,0.9796796686602746,24948935408.0376,31.4,27858.3709958327,41254.40458771,836.52368164,1123.48657227,37.3,13.416
Czechia,0.9011294967473602,0.9084918631224994,0.5,0,0.3333333333333333,0,0.2142857142857143,2.8302004490445204e-5,250680504529.647,24.9,23494.5962002944,44295.9171903288,1460.20837402,2514.62426758,43.3,19.027
Denmark,0.980352787780232,0.9784314791571764,0,NA,0.6666666666666666,0.5,0,0.9810594517933877,350104327658.675,28.7,60170.3426365069,62089.9144642065,5214.66015625,4860.25732422,42.3,19.677
Djibouti,0.11192141100006094,0.21011044744330468,0,NA,0,NA,NA,0.010203747482776993,3324634256.13324,41.6,3414.92486968779,5779.67576510782,35.12189484,66.85728455,25.4,4.213
Dominica,0.8961742521544336,0.9034401605094544,0,NA,0,NA,NA,NA,582403703.703704,NA,8110.56851191655,12444.441138884,318.10812378,460.32250977,NA,NA
Dominican Republic,0.5604258492309213,0.7324857411162987,1,1,0.6666666666666666,0.5,0,0.49113117943733275,88941299734.2073,43.7,8282.11635935324,19227.7155985312,204.49601746,450.82589722,27.6,6.981
Ecuador,0.5430290957882914,0.5116236880287522,0.5,0,0.3333333333333333,0,0.2142857142857143,0.38339026251127317,107435665000,45.4,6183.82382482173,11878.7183637027,268.41723633,496.41848755,28.1,7.104
Egypt,0.10918796907636984,0.15837139266158773,0,NA,0,NA,0.5,0.011719878789098808,303092255125.285,31.5,3019.20582861756,12283.8073656393,36.07154846,176.44493103,25.3,5.159
El Salvador,0.8025851210646627,0.7962851066762464,0.5,0,0.6666666666666666,0.5,0.7857142857142858,0.4891989970539828,27022640000,38.6,4187.2500311069,9164.34612258003,184.22163391,378.21661377,27.6,8.273
Equatorial Guinea,0.05551599928066213,0.050368724547087095,0,NA,0,NA,NA,0.010680975060826506,11026774945.3415,NA,8131.92388810912,19379.2424653675,62.43690491,138.37895203,22.4,2.846
Eritrea,0.014832711987325128,0.01827155870667626,0,NA,0,NA,0.4285714285714286,0.034814952491978,2065001626.01626,NA,642.507659063694,1625.50615569996,3.70365119,11.47636986,19.3,3.607
Estonia,0.9348981661449496,0.9264529509377755,0,NA,0.6666666666666666,0.5,NA,0.7714096304078145,31471100656.2431,30.4,23723.306112848,39986.237100187,1142.58435059,1786.10778809,42.7,19.452
Eswatini,0.12244804791156598,0.12101732661736418,0,NA,0,NA,NA,0.004417058218381347,4471598726.6436,54.6,3894.67980685427,9003.36423142681,89.12561035,228.68084717,21.5,3.163
Ethiopia,0.15640015648493658,0.21661830399870907,0,NA,0,NA,0.28571428571428575,0.23559170316444264,95912590628.1412,35,855.760862280838,2319.70737799741,5.66122723,15.57280636,19.8,3.526
Fiji,0.547128171510759,0.4799215555651218,0,NA,0,NA,NA,0.3618105300121248,5496250694.31587,36.7,6175.88872032104,14289.9605021771,146.5606842,254.42773438,28.6,6.224
Finland,0.9816113886532112,0.9743602508920216,1,1,0.6666666666666666,0.5,0,0.749621340693482,269296310180.392,27.4,48782.7884755091,53171.585085277,3547.37304688,3501.41235352,42.8,21.228
France,0.9264056847677653,0.9351194893473268,1,1,1,1,0.14285714285714288,0.0012995459470072283,2715518274227.45,31.6,40493.9285720456,50992.9611688192,3441.16650391,3852.31958008,42,19.718
French Guiana,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,0.1583094200735661,0.24327190201910265,0,NA,0,NA,0.35714285714285715,0.011102018482548024,16874450215.1351,38,7767.01340440788,15611.6486204056,127.96105194,287.62417603,23.1,4.45
Gambia,0.5088214924160729,0.3091017629459884,0,NA,0,NA,0.28571428571428575,0.2368402491065375,1826073739.82522,35.9,777.811932084008,2321.23774758047,6.77834558,24.72364616,17.5,2.339
Georgia,0.5597029294788622,0.540980825073329,1,1,1,1,0.14285714285714288,0.0017048254500342096,17477255545.6705,36.4,4697.7045759469,15655.6739063701,123.41460419,314.07565308,38.7,14.864
Germany,0.9503561474633803,0.9546929113192237,1,1,0.6666666666666666,0.5,0,0.7226627006802407,3861123558039.21,31.9,46445.2491012508,57530.3030344638,4251.02880859,4737.33056641,46.6,21.453
Ghana,0.8576139823081048,0.8472513341508342,0.5,0,0.6666666666666666,0.5,0.4285714285714286,0.3010833975953558,66983634223.943,43.5,2202.11556738065,5652.15060759374,30.30209732,65.33228302,21.1,3.385
Greece,0.9009904809378978,0.885261674424991,1,1,0.6666666666666666,0.5,0.5,0.7217234416727186,209852761132.839,34.4,19582.5359794936,32506.3589653217,813.74188232,1215.32409668,45.3,20.396
Greenland,NA,NA,0,NA,0,NA,NA,NA,3051626389.63671,NA,54470.9563864255,NA,NA,NA,NA,NA
Grenada,0.8728256075878315,0.8803266444747876,0,NA,0,NA,NA,0.021357058983049924,1210603703.7037,NA,10808.6721222084,17792.9086435426,181.25567627,265.01519775,29.4,7.304
Guam,NA,NA,0,NA,0,NA,NA,NA,5920000000,NA,35712.5621350321,NA,NA,NA,NA,NA
Guatemala,0.4968227785804604,0.49992063605573983,1,1,0.6666666666666666,0.5,0.35714285714285715,0.3778131408956477,76710355347.0968,48.3,4619.98525821971,9019.69380356991,93.48612976,173.90835571,22.9,4.694
Guinea,0.44312695290475046,0.3238505252388582,0,NA,0,NA,0.35714285714285715,0.022169298289481405,12296665331.192,33.7,962.839908587778,2675.46157089664,6.2994432400000004,17.95958328,19,3.135
Guinea-Bissau,0.4788963516141269,0.3991507605418849,0,NA,0,NA,NA,0.015982033065996562,1339449165.48759,50.7,697.294926856786,2077.40166918098,4.88268852,11.28578281,19.4,3.002
Guyana,0.8200695837235257,0.7844533131039998,0,NA,0,NA,NA,0.0061086525136444395,5173759527.57794,NA,6609.58642503371,13661.2802492827,182.86883545,317.35702515,26.3,5.305
Haiti,0.4458686264880566,0.42868723153731314,0,NA,0,NA,0.5,0.017832247497058532,14332163266.3977,41.1,1272.4909246734,3034.01211008755,7.69670486,17.2068367,24.3,4.8
Honduras,0.467399870709024,0.483965484547301,1,1,0.6666666666666666,0.5,0.35714285714285715,0.0045481610279940535,25095395475.0393,52.1,2574.91219067443,5981.45089204649,70.95574188,145.84317017,24.9,4.652
Hong Kong SAR China,0.5613484451348122,0.5963336503064989,0,NA,0,NA,0.2142857142857143,NA,365711532816.907,NA,48713.4737481561,62495.9599403015,NA,NA,44.8,16.303
Hungary,0.562666884282593,0.8520222521962261,0,NA,0,NA,0.4285714285714286,0.6587318852212646,163469042867.956,30.6,16731.8215139051,34966.298094639,747.53192139,1461.60998535,43.4,18.577
Iceland,0.9501364939959434,0.9589961344363076,0,NA,0,NA,NA,0.7913350387721418,24188038473.5438,26.8,66944.8330769825,60132.4542962832,5379.64648438,4211.85253906,37.3,14.431
India,0.8217904278459333,0.7122362853118055,0,NA,0,NA,0.8571428571428572,0.5469796090669156,2868929415617.02,35.7,2099.59904810855,6996.55692650234,19.63145256,74.15726471,28.2,5.989
India,0.5717904278459333,0.7122362853118055,0,NA,0,NA,0.8571428571428572,0.5469796090669156,2868929415617.02,35.7,2099.59904810855,6996.55692650234,19.63145256,74.15726471,28.2,5.989
Indonesia,0.5548091286669659,0.6864433939124317,1,1,0.6666666666666666,0.5,0.28571428571428575,0.2811754503563302,1119190780752.8,37.8,4135.56926281554,12334.9172683236,55.08996582,185.06178284,29.3,5.319
Iran,0.11642242321367119,0.10013173022131899,0,NA,0,NA,0.35714285714285715,0.5146880025949686,453996479250.212,40.8,5550.06095701484,12937.4759795684,222.42095947,776.78900146,32.4,5.44
Iraq,0.1688213593647888,0.15330499253404467,0,NA,0,NA,0.2142857142857143,0.5540320336006779,234094042938.917,29.5,5955.10901036816,11362.6914755367,115.23300934,344.60119629,20,3.186
Ireland,0.9502748183109482,0.9505696322593454,0,NA,0,NA,0,0.7685188558810346,388698711348.156,32.8,78660.9564629603,89683.6383584847,4055.94116211,4357.13720703,38.7,13.928
Israel,0.8702921855268527,0.7385364774120489,0,NA,0.6666666666666666,0.5,0.07142857142857144,0.8821693360151911,394652210295.849,39,43592.0835823234,42897.809276733,2150.53881836,2075.36279297,30.6,11.733
Italy,0.9055004896141132,0.9100771898198173,1,1,0.6666666666666666,0.5,0.14285714285714288,0.7607700916646348,2003576145498.04,35.9,33228.2366803707,45722.5696741577,2208.52026367,2677.77490234,47.9,23.021
Jamaica,0.864606082015892,0.8576580514203725,0,NA,0,NA,0.14285714285714288,0.7759834139629173,16458071067.8176,NA,5582.26377755211,10193.4695239053,208.4400177,363.08630371,31.4,9.684
Japan,0.9039250022424019,0.9107176768509905,0,NA,0,NA,0.07142857142857144,0.4114702411853126,5081769542379.77,32.9,40246.8801284164,43593.5050635196,3587.73876953,3787.11035156,48.2,27.049
Jersey,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,0.45343116308950127,0.3190663843476258,1,1,0.6666666666666666,0.5,0.5714285714285715,0.7036357358209062,44502895861.6837,33.7,4405.48841230824,10517.0670336401,162.35441589,362.80496216,23.2,3.81
Kazakhstan,0.13582686904452837,0.14132598544419742,0,NA,0,NA,0.4285714285714286,0.6881856482447044,181665908556.499,27.5,9812.39037613835,27517.5564580125,167.82113647,476.81665039,30.6,6.991
Kenya,0.4996531152548277,0.5070123706718443,1,1,0.6666666666666666,0.5,0.4285714285714286,0.26748431668163447,95503088538.092,40.8,1816.5469164389,4521.47915130539,37.2430191,75.50148773,20,2.686
Kiribati,0.924040930953753,0.8914572221129121,0,NA,0,NA,NA,NA,194647201.946472,37,1655.07883905984,2372.45135469549,150.38806152,212.25886536,NA,NA
Kosovo,0.5195145925180615,0.47329685366279173,0,NA,0,NA,NA,NA,7926133713.61397,29,4417.5240622333,11870.7975764716,NA,NA,NA,NA
Kuwait,0.4571651683672969,0.46217003907258886,0,NA,0,NA,0.28571428571428575,0.6915319674146612,134628542746.97,NA,32000.4484691578,52059.7233148301,1506.60583496,3230.2980957,33.7,2.345
Kyrgyzstan,0.4790619083211568,0.4369698777127724,0,NA,0,NA,0.5714285714285715,0.006078965388618519,8454619607.81795,27.7,1309.39299165512,5485.56032924938,36.72362518,111.33498383,26.3,4.489
Laos,0.06315092003600449,0.07353472116934699,0,NA,0,NA,0.35714285714285715,NA,18173839147.4011,36.4,2534.89827991125,8172.72608750719,22.10001755,64.66712189,24.4,4.029
Latvia,0.8947240540014207,0.8861508436303187,0,NA,0.6666666666666666,0.5,NA,0.783832190085265,34102913582.4235,35.6,17828.8946571856,33020.7965213363,657.76702881,1132.08105469,43.9,19.754
Lebanon,0.4744997704904842,0.4816031829372001,0,NA,0,NA,0.35714285714285715,0.002111307921476952,51991634491.6345,31.8,7583.69472170648,15195.5296771146,343.38116455,543.15856934,31.1,8.514
Lesotho,0.5391683578295137,0.6636772649662184,0,NA,0,NA,0.28571428571428575,0.008798050017615319,2376328637.26318,44.9,1118.13128380194,2824.0924775131,72.45595551,179.41157532,22.2,4.506
Liberia,0.5320097904883015,0.5132779701986455,0.5,0,0.6666666666666666,0.5,0.35714285714285715,0.022714270481948535,3070518100,35.3,621.892953622715,1491.00369641032,11.42816257,3180.73803711,19.2,3.057
Libya,0.10552730417218575,0.13167527051770944,0,NA,0,NA,NA,0.0047220919826110605,52091152228.3425,NA,7685.94926653003,15845.6599284929,196.1343689,391.82263184,29,4.424
Liechtenstein,0.9409321914576463,0.9568800434866976,0,NA,0,NA,NA,0.0011269941724114834,6876981286.43011,NA,181402.83002981,NA,NA,NA,NA,NA
Lithuania,0.9119900641445808,0.9002371176314956,0,NA,0.6666666666666666,0.5,0.14285714285714288,0.7792679255111498,54627411860.4705,37.3,19601.8908343885,40016.325827438,822.82885742,1523.44165039,43.5,19.002
Luxembourg,0.9736468112749166,0.9782081907730734,0,NA,0,NA,NA,1,71104919108.1411,34.9,114704.594170863,124590.545137424,5288.11181641,5135.88037109,39.7,14.312
Macao SAR China,NA,NA,0,NA,0,NA,NA,NA,53859116535.5306,NA,84096.3963112065,129451.063932872,NA,NA,NA,NA
Madagascar,0.5082826113900494,0.47517384066641194,0,NA,0,NA,0.4285714285714286,0.022285321485247693,14114631280.6774,42.6,523.359064460847,1719.90601296554,7.87874842,28.25439072,19.6,2.929
Malawi,0.5237997855226333,0.5177759782257718,0.5,0,0.3333333333333333,0,0.14285714285714288,0.13352916227837994,7666704427.00915,44.7,411.552340423602,1106.61893517062,10.25176048,34.51488113,18.1,2.979
Malaysia,0.5301478860629132,0.487126540007329,0,NA,0,NA,0.5714285714285715,0.5840221706958897,364681367531.684,41,11414.2069765208,29619.6872725667,218.65480042,611.02868652,29.9,6.293
Maldives,0.48096511038019835,0.4211366793470649,0,NA,0,NA,NA,0.8203736773994723,5642179170.45898,31.3,10626.513402239,20395.4942407226,687.53729248,1018.78302002,30.6,4.12
Mali,0.4844016308671302,0.631847854618045,0,NA,0,NA,0.35714285714285715,0.022191634711333043,17279566718.6087,33,879.008010446655,2424.33087194347,9.86327934,25.398283,16.4,2.519
Malta,0.9225720777538513,0.9306865989817874,0,NA,0,NA,NA,0.8893413064819087,14989415684.1203,29.2,29820.6032474099,47578.1969914071,1747.8684082,2473.93896484,42.4,19.426
Marshall Islands,0.9257831961008793,0.9280729985078211,0,NA,0,NA,NA,NA,221278000,NA,3788.16359372058,3983.32767464754,279.25473022,294.06271362,NA,NA
Martinique,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritania,0.18921762940749956,0.23257265040033262,0,NA,0,NA,0.5,0.36881503687130435,7600656943.97506,32.6,1679.44487300408,5427.05824167399,19.54978752,68.21751404,20.3,3.138
Mauritius,0.8852444932269314,0.8897246801754723,0,NA,0,NA,NA,0.025400118869935703,14048430518.5561,36.8,11099.2402835688,23882.3542676011,281.90109253,595.74902344,37.4,10.945
Mexico,0.5377697195173881,0.6330354133434335,0.5,0,1,1,0.5,0.33413369743431415,1268870527160.03,45.4,9946.03382879198,20944.0290161466,260.17428589,533.73724365,29.3,6.857
Micronesia (Federated States of),0.9205564449654986,0.9184909345096717,0,NA,0,NA,NA,NA,401932300,40.1,3568.291015625,3547.97511620341,109.45539856,108.9882431,NA,NA
Moldova,0.5244082489343636,0.5227940141861583,0.5,0,0,NA,0.2142857142857143,0.0019226014431990499,11968713370.4969,25.7,4503.51698538847,13626.9862509039,120.38367462,271.24172974,37.6,10.864
Monaco,0.8700312789785913,0.8936014723149988,0,NA,0,NA,NA,0.002447709607782564,7188238072.74445,NA,185829.017960407,NA,2544.51025391,2556.53466797,NA,NA
Mongolia,0.8285757399805729,0.8121955900387433,0.5,0,0.6666666666666666,0.5,0.28571428571428575,0.7722686485668825,13996719329.4097,32.7,4339.84327925027,12861.8365587725,91.00946808,304.70730591,28.6,4.031
Montenegro,0.5387983901527216,0.6712240970996989,0,NA,0.6666666666666666,0.5,NA,2.009983677549916e-4,5542577964.98146,39,8908.93479246767,24035.9051126381,438.99746704,1026.97961426,39.1,14.762
Morocco,0.4581505266184832,0.45153685926351,0,NA,0,NA,0.4285714285714286,0.5264557939409084,119700325461.938,39.5,3204.09500313298,7826.16767727681,70.24705505,187.74357605,29.6,6.769
Mozambique,0.4727839322054302,0.505061627024505,0,NA,0,NA,0.35714285714285715,0.19037582190067992,15291448211.603,54,503.570772675202,1338.09666600215,8.52427864,24.93854904,17.7,3.158
Myanmar (Burma),0.4321139227657793,0.14713545083647067,0,NA,0,NA,0.35714285714285715,0.36254069697965735,76085852617.1371,30.7,1407.81314341043,5369.7074947396,8.77954292,43.26124954,29.1,5.732
Namibia,0.8524221064112181,0.8431461908737741,0,NA,0,NA,0.4285714285714286,0.50500037223878,12366528259.1844,59.1,4957.45822226408,10063.6499589568,217.16186523,406.54638672,22,3.552
Nauru,0.8630622994737653,0.8936186808847508,0,NA,0,NA,NA,NA,118223430.124446,NA,9396.98196681072,12095.2970213263,799.32067871,971.99176025,NA,NA
Nepal,0.5193844316141556,0.4640000414423466,0,NA,0,NA,0.5714285714285715,0.4335041258876754,30641380603.9699,32.8,1071.05076055404,3567.99293874045,14.48920441,45.18733978,25,5.809
Netherlands,0.9786322967482479,0.975482199432853,0,NA,0.6666666666666666,0.5,0,0.6748773070096385,907050863145.097,28.5,52331.3167277797,61285.032210275,3444.80834961,3657.73071289,43.2,18.779
New Zealand,0.9791501962305027,0.9759924727737456,0.5,0,1,1,0,0.6915480366568343,206928765543.935,NA,42084.3533748088,45382.1235079228,3021.27709961,3011.49194336,37.9,15.322
Nicaragua,0.15257867240678366,0.4503457272848975,0,NA,0,NA,0.4285714285714286,0.017534973561506108,12520915291.1837,46.2,1912.90374537869,5646.39946843178,103.93600464,283.47229004,27.3,5.445
Niger,0.46573271138762684,0.48535046666753867,0,NA,0,NA,0.35714285714285715,0.03033485614965664,12911689659.351,34.3,553.89505038138,1278.69815751027,10.07909298,25.8909111,15.1,2.553
Nigeria,0.48453781454830214,0.4624061546956284,0,NA,0,NA,0.4285714285714286,0.10756447955420394,448120428858.769,35.1,2229.85869624463,5362.75841748844,12.45123196,34.63783264,18.1,2.751
North Korea,NA,NA,0,NA,0,NA,0.28571428571428575,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Macedonia,0.5353151828676753,0.5363601040106368,0.5,0,0.6666666666666666,0.5,0.4285714285714286,0.6119869111629326,12547040498.9077,34.2,6022.21617939574,18107.7835662903,228.76986693999999,615.17565918,39.1,13.26
Norway,0.9937033467460928,0.9884981216528128,0.5,0,1,1,0.14285714285714288,0.774586380953363,403336363636.364,27,75419.6348688089,70005.8885797836,7029.85253906,5817.62548828,39.7,16.821
