country_standard,mean_transparency_index,mean_accountability_index,mean_trust_index,mean_corruption_index,mean_effectiveness_index,mean_budget_participation_index,mean_budget_transparency_index,mean_pandemic_dem_violation_index,mean_covid_index
Anguilla,NA,NA,NA,0.27833106822724424,0.7867175603167337,0,0,NA,NA
Antigua & Barbuda,0.859200596312422,NA,NA,0.35764941921818266,0.581213507312676,0,0,NA,0.006694201548867725
Argentina,0.8358464077924547,0.7825556160328587,0.20502660931806774,0.6797928543998883,0.5232223667546847,0.5,0.6666666666666666,0.2142857142857143,0.5247484853494194
Armenia,0.4629203416948657,0.565523001680538,0.2558756777637577,0.7110185257623415,0.4171402339674713,0,0.6666666666666666,0.2142857142857143,0.60885307955188
Aruba,NA,NA,NA,0.2928912174137116,0.75653940460369,0,0,NA,NA
Australia,0.9575276007273793,0.943639233239772,0.42047326307368194,0.1388002993969143,0.8908591593649742,0.5,1,0.07142857142857144,0.7445102576049156
Austria,0.9564711457174482,0.8858472270235542,NA,0.20778978890639188,0.8356079761767327,0,0,0,0.9043521625127596
Azerbaijan,0.1131713338653096,0.2873581123024247,0.6115733235287941,0.8010864112475097,0.2985115291407323,0.5,0.6666666666666666,0.28571428571428575,0.004625938188672381
Bahamas,0.9043806664741729,NA,NA,0.2847058094802856,0.6991355305119674,0,0,NA,0.0041048632388634
Bahrain,0.21201006025805944,0.36760066764516874,NA,0.5417770740831377,0.46486538206345096,0,0,NA,0.9106324776331687
Bangladesh,0.4757407900802968,0.5099926361463589,0.6825507888861391,0.8032291356724464,0.4507099613886003,0,0,0.35714285714285715,0.27311052419007
Barbados,0.9209059851791499,0.818229704643739,NA,0.26106108143091883,0.7681628425049266,0,0,NA,0.007436247885328989
Belarus,0.09790094062769779,0.308136906323014,0.4621749305597086,0.7069162432013095,0.3322457427154083,0,0,0.5,0.7215301686405675
Belgium,0.9535761782538187,0.915696624342018,NA,0.23323032292254622,0.8387369917425882,0,0,0.14285714285714288,0.7881267933416108
Belize,0.8601920963570477,NA,NA,0.6283103585887045,0.4120154282303592,0,0,NA,0.0028626567586693664
Benin,0.8198221342099546,0.7900164308770785,NA,0.7035921060183211,0.5116396962352042,0,0,0.35714285714285715,0.026105009740092132
Bermuda,NA,NA,NA,0.27833106822724424,0.749820108102565,0,0,NA,NA
Bhutan,0.4453277188901412,0.6918522941362244,NA,0.3586555336345943,0.5845840547046334,0,0,NA,0.8010229022204954
Bolivia,0.5323982647348763,0.659014128310589,0.18654618845537208,0.7239135168708527,0.4656028930893838,0,0,0,0.405951660162853
Bosnia & Herzegovina,0.5260739076170531,0.6816012279729309,NA,0.6721126178354544,0.3559362476722755,0.5,0,0.5,0.5806354692889091
Botswana,0.843143513415086,0.8004200675293031,NA,0.3835460231837829,0.6812508234625901,0,0,0,0.0065033975545645975
Brazil,0.84445969243683106,0.8594995542698133,0.24733972090812947,0.6365015072972231,0.6015220333054461,1,1,0.4285714285714286,0.2900151739529332
Brunei,0.18675896439253756,NA,NA,0.4365139117449076,0.7281194571180614,0,0,NA,0.026786239425959892
Bulgaria,0.8420753174918283,0.8012604271901954,0.2563002608301425,0.6258175264686004,0.5756241271821781,0.5,0.6666666666666666,0.28571428571428575,0.6072111999552904
Burkina Faso,0.5097199046584361,0.7140315699607352,0.3870008872214998,0.6583873684403039,0.35846715707719573,0.5,0.3333333333333333,0.14285714285714288,0.02561515461482692
Burundi,0.31099202536143994,0.4210370875705073,NA,0.8608332706463911,0.23889995213077733,0,0,0.35714285714285715,0.11577624835306734
Cambodia,0.15821286479358243,0.42793545829492474,NA,0.8522997766785608,0.4755011099454909,0,0,0.2142857142857143,NA
Cameroon,0.15662474538144794,0.5123177971366497,NA,0.8196988139159305,0.3567512500655052,0,0,0.5,0.017260431734975924
Canada,0.9620172802757931,0.8745843498118591,0.42878382652055536,0.13028820769889327,0.9317192992504651,0.5,0.6666666666666666,0,0.7557417395057808
Cape Verde,0.9001877964688736,0.8729070354269812,NA,0.4140341749022279,0.6769280697675503,0,0,NA,0.004592943862824371
Cayman Islands,NA,NA,NA,0.34334847093084087,0.7747655662162826,0,0,NA,NA
Central African Republic,0.2855852148472564,0.5783825578984026,NA,0.8304884182298256,0.12454336279327509,0,0,0.35714285714285715,0.020185753404224016
Chad,0.11439051757956861,0.3909264583250643,NA,0.8815010994700303,0.10353507289600838,0,0,0.4285714285714286,0.027773869936433028
Chile,0.9151131929116713,0.9322673734736613,0.28053302363039256,0.27847069387308965,0.8260580726878513,1,0.6666666666666666,0.14285714285714288,0.7134731774114871
China,0.08400146874748611,0.22399098396724648,0.7679317948799772,0.6645198073910368,0.5287027688394229,0,0,0.5,0.5277259877940975
Colombia,0.5321872541547762,0.7524250093346452,0.19453392645646334,0.6561179877970851,0.5917016608734214,0,0.6666666666666666,0.14285714285714288,0.5942004486679464
Comoros,0.4884421905306202,0.6282251386963823,NA,0.7709108825952049,0.2049097099359826,0,0,NA,0.008843504024225705
Congo - Brazzaville,0.16236788337148644,0.4026341793256154,NA,0.8486907769706207,0.27681456807101756,0,0,0.28571428571428575,0.016295679802705007
Congo - Kinshasa,0.11453598463686279,0.49229478749192584,NA,0.8752386730987098,0.07046976890083878,0,0,0.6428571428571429,0.02772822900203159
Cook Islands,NA,NA,NA,0.5639989950705571,0.4104156678855872,0,0,NA,NA
Costa Rica,0.9166771322677603,0.9576975341965398,NA,0.45616430959906956,0.6974199456328172,1,0.6666666666666666,0.2142857142857143,0.49375105063484515
Côte d’Ivoire,0.319421244093211,0.6418801415037927,NA,0.7648686361613191,0.29590101147252496,1,0.6666666666666666,0.2142857142857143,0.22081945891127483
Croatia,0.8485526677539735,0.8112082086556613,NA,0.563185077148871,0.6288602770799996,1,0.6666666666666666,0.4285714285714286,0.6514508871312514
Cuba,0.08672505356498969,0.26554363074243265,NA,0.5552639809822755,0.4623165286755533,0,0,0.4285714285714286,0.6002916570809845
Cyprus,0.9143840563827217,0.8390486578878981,0.4712673587696753,0.3743132995800156,0.7191254360848826,0,0,NA,0.9796796686602746
Czechia,0.9084918631224994,0.8722494152761321,NA,0.49156125262518374,0.7191606077751009,0.5,0.3333333333333333,0.2142857142857143,2.8302004490445204e-5
Denmark,0.9784314791571764,0.9807068956577543,NA,0.04341823833397286,0.9582423259937768,0,0.6666666666666666,0,0.9810594517933877
