country_standard,mean_transparency_index,mean_accountability_index,mean_trust_index,mean_corruption_index,mean_effectiveness_index,mean_budget_participation_index,mean_budget_transparency_index,mean_pandemic_dem_violation_index,mean_covid_index
Djibouti,0.21011044744330468,0.4106909651141992,NA,0.7145318982378426,0.2524150115756875,0,0,NA,0.010203747482776993
Dominica,0.9034401605094544,NA,NA,0.4373826277433975,0.5805397869311468,0,0,NA,NA
Dominican Republic,0.7324857411162987,0.6405250631322453,NA,0.7507989855428606,0.4751322710471577,1,0.6666666666666666,0,0.49113117943733275
Ecuador,0.5116236880287522,0.6348385531036261,0.2996017264107755,0.7430703031882879,0.43749669156149934,0.5,0.3333333333333333,0.2142857142857143,0.38339026251127317
Egypt,0.15837139266158773,0.44030594716321136,0.2193379813801321,0.7213228286070884,0.36918130757754997,0,0,0.5,0.011719878789098808
El Salvador,0.7962851066762464,0.6962353899162833,NA,0.6545372063972131,0.5318684047391626,0.5,0.6666666666666666,0.7857142857142858,0.4891989970539828
Equatorial Guinea,0.050368724547087095,0.3016385556872673,NA,0.9219992986079075,0.1609489408181137,0,0,NA,0.010680975060826506
Eritrea,0.01827155870667626,0.0217795869039418,NA,0.796045388863994,0.22111740217992823,0,0,0.4285714285714286,0.034814952491978
Estonia,0.9264529509377755,0.9273365822063535,0.4452440381247092,0.3073950692119291,0.7622876618694987,0,0.6666666666666666,NA,0.7714096304078145
Eswatini,0.12101732661736418,0.409804044131613,NA,0.6654300368997561,0.3399866975282044,0,0,NA,0.004417058218381347
Ethiopia,0.21661830399870907,0.4005399640792821,0.3975682448706662,0.7212470651518206,0.3939069475349072,0,0,0.28571428571428575,0.23559170316444264
Fiji,0.4799215555651218,0.46685433711878815,NA,0.5602520206310257,0.43850172148028405,0,0,NA,0.3618105300121248
Finland,0.9743602508920216,0.943098563761327,NA,0.059611835379523394,0.9552625211281875,1,0.6666666666666666,0,0.749621340693482
France,0.9351194893473268,0.8856123308558745,0.27585478948337994,0.27017313700532747,0.7854409563411349,1,1,0.14285714285714288,0.0012995459470072283
French Guiana,NA,NA,NA,0.3409696221366843,0.7519858702916026,0,0,NA,NA
Gabon,0.24327190201910265,0.5432417573726787,NA,0.7461198119598901,0.2944053595433098,0,0,0.35714285714285715,0.011102018482548024
Gambia,0.3091017629459884,0.45492718147772415,NA,0.7356609991555624,0.4029048327828334,0,0,0.28571428571428575,0.2368402491065375
Georgia,0.540980825073329,0.7253889962058495,0.2652952367118452,0.5240935111722017,0.4566993786371281,1,1,0.14285714285714288,0.0017048254500342096
Germany,0.9546929113192237,0.9687094372692726,0.4382676388525507,0.16785681414756337,0.8573828598520596,1,0.6666666666666666,0,0.7226627006802407
Ghana,0.8472513341508342,0.8195366194884808,0.5652019298087019,0.6051925830734546,0.5184078847176102,0.5,0.6666666666666666,0.4285714285714286,0.3010833975953558
Greece,0.885261674424991,0.9065086494103858,0.2867531639675629,0.5893366569412516,0.6159945520490681,1,0.6666666666666666,0.5,0.7217234416727186
Greenland,NA,NA,NA,0.29503882192969644,0.7105154628375986,0,0,NA,NA
Grenada,0.8803266444747876,NA,NA,0.4915214571191624,0.5303750554116049,0,0,NA,0.021357058983049924
Guam,NA,NA,NA,0.3417139238867946,0.5576156059502237,0,0,NA,NA
Guatemala,0.49992063605573983,0.7124657619136975,0.07761829098390342,0.7440706356088967,0.5060773561877694,1,0.6666666666666666,0.35714285714285715,0.3778131408956477
Guinea,0.3238505252388582,0.48935729865627553,NA,0.8226907476446438,0.16710847802720555,0,0,0.35714285714285715,0.022169298289481405
Guinea-Bissau,0.3991507605418849,0.5783214464329334,NA,0.8727878843702647,0.12105466004693892,0,0,NA,0.015982033065996562
Guyana,0.7844533131039998,0.6709760624518388,NA,0.7210001676442638,0.515082148460695,0,0,NA,0.0061086525136444395
Haiti,0.42868723153731314,0.6278741018893715,0.09237747600953916,0.8671029721487518,0.2109266408797473,0,0,0.5,0.017832247497058532
Honduras,0.483965484547301,0.5667612723339451,NA,0.7683526504734403,0.48015613694110626,1,0.6666666666666666,0.35714285714285715,0.0045481610279940535
Hong Kong SAR China,0.5963336503064989,0.6920040268361972,0.5347906854408008,0.1793424415641102,0.7391502641975011,0,0,0.2142857142857143,NA
Hungary,0.8520222521962261,0.7461673748655683,0.23163540541015545,0.5125176386581567,0.6389431128395262,0,0,0.4285714285714286,0.6587318852212646
Iceland,0.9589961344363076,0.8769412656251919,NA,0.13282967336663298,0.9111076795859766,0,0,NA,0.7913350387721418
India,0.7122362853118055,0.7527493825050677,0.5635644027935872,0.6658992899608169,0.6490179865266295,0,0,0.8571428571428572,0.5469796090669156
Indonesia,0.6864433939124317,0.7848686912613196,0.556480225354579,0.7146881959673593,0.6147069240084113,1,0.6666666666666666,0.28571428571428575,0.2811754503563302
Iran,0.10013173022131899,0.48641921545969535,0.5241969659210757,0.7711177931404507,0.3677125918283765,0,0,0.35714285714285715,0.5146880025949686
Iraq,0.15330499253404467,0.6561615038397762,0.3192914977411449,0.8899929604351363,0.1428084376054401,0,0,0.2142857142857143,0.5540320336006779
Ireland,0.9505696322593454,0.901529435482487,NA,0.21903169226852723,0.8247768689672333,0,0,0,0.7685188558810346
Israel,0.7385364774120489,0.8299503128864997,NA,0.3843799381357999,0.7722270477811337,0,0.6666666666666666,0.07142857142857144,0.8821693360151911
Italy,0.9100771898198173,0.9242405728427493,NA,0.548295542571379,0.631264041994974,1,0.6666666666666666,0.14285714285714288,0.7607700916646348
Jamaica,0.8576580514203725,0.83721122325892,NA,0.6440730725209045,0.6402553409463212,0,0,0.14285714285714288,0.7759834139629173
Japan,0.9107176768509905,0.8939666453690954,0.4432098990834322,0.2319138530866168,0.8450746222495106,0,0,0.07142857142857144,0.4114702411853126
Jersey,NA,NA,NA,0.2988550300339356,0.7960291527416816,0,0,NA,NA
Jordan,0.3190663843476258,0.5923582661088261,0.5239491595618027,0.5327152759654497,0.47833623801055203,1,0.6666666666666666,0.5714285714285715,0.7036357358209062
Kazakhstan,0.14132598544419742,0.40095929304903316,0.5805750459268603,0.7702386002083704,0.34147951523983733,0,0,0.4285714285714286,0.6881856482447044
Kenya,0.5070123706718443,0.7031340156889638,NA,0.8017140467190338,0.4492484994264727,1,0.6666666666666666,0.4285714285714286,0.26748431668163447
Kiribati,0.8914572221129121,NA,NA,0.5696767470154482,0.3980910282503638,0,0,NA,NA
Kosovo,0.47329685366279173,0.6581049515219649,NA,0.7043077315381686,NA,0,0,NA,NA
Kuwait,0.46217003907258886,0.6582581091290489,0.6148495952697836,0.5830554783826467,0.4750808610457212,0,0,0.28571428571428575,0.6915319674146612
Kyrgyzstan,0.4369698777127724,0.6032208200972925,0.3965669739174216,0.8252121396333462,0.30046357228910736,0,0,0.5714285714285715,0.006078965388618519
Laos,0.07353472116934699,0.28843939880054237,NA,0.8149481515748798,0.34346504887173684,0,0,0.35714285714285715,NA
Latvia,0.8861508436303187,0.8367890603599988,NA,0.4980215473201081,0.6396855026637118,0,0.6666666666666666,NA,0.783832190085265
Lebanon,0.4816031829372001,0.629195466426536,0.23453867752147797,0.7779956618255707,0.3392162416932058,0,0,0.35714285714285715,0.002111307921476952
Lesotho,0.6636772649662184,0.7024255931552615,NA,0.5994429168493742,0.4924130643774079,0,0,0.28571428571428575,0.008798050017615319
Liberia,0.5132779701986455,0.7707007797452186,NA,0.7248061837512745,0.19997836666181534,0.5,0.6666666666666666,0.35714285714285715,0.022714270481948535
Libya,0.13167527051770944,0.4183275882591465,0.3112776606737442,0.8747188466944719,0.2017641882151678,0,0,NA,0.0047220919826110605
Liechtenstein,0.9568800434866976,NA,NA,0.16135494436667003,0.8846471536603205,0,0,NA,0.0011269941724114834
Lithuania,0.9002371176314956,0.8775816779740504,NA,0.47600713220205443,0.6564076084504885,0,0.6666666666666666,0.14285714285714288,0.7792679255111498
Luxembourg,0.9782081907730734,0.8930609070704733,NA,0.12415725543539077,0.9068059811408062,0,0,NA,1
Macao SAR China,NA,NA,0.5762104437911643,0.439700206150348,0.7733673850509343,0,0,NA,NA
Madagascar,0.47517384066641194,0.5646951914648788,NA,0.7422480873681822,0.3361695561157041,0,0,0.4285714285714286,0.022285321485247693
Malawi,0.5177759782257718,0.7211554549477673,NA,0.7193417380550123,0.4471063933548761,0.5,0.3333333333333333,0.14285714285714288,0.13352916227837994
Malaysia,0.487126540007329,0.49869964064909844,0.5862562741391847,0.5340374204738462,0.7361522173422189,0,0,0.5714285714285715,0.5840221706958897
Maldives,0.4211366793470649,0.6127938434658652,NA,0.727740767926882,0.4631444006171902,0,0,NA,0.8203736773994723
Mali,0.631847854618045,0.6904282126356592,0.6008944551382894,0.7340633284833458,0.40789518638615524,0,0,0.35714285714285715,0.022191634711333043
Malta,0.9306865989817874,0.7517189669951,NA,0.41555962273809166,0.7919172685208649,0,0,NA,0.8893413064819087
Marshall Islands,0.9280729985078211,NA,NA,0.6256187547506851,0.21723804417754103,0,0,NA,NA
Martinique,NA,NA,NA,0.3417139238867946,0.691089863983996,0,0,NA,NA
Mauritania,0.23257265040033262,0.5501607939598182,NA,0.7601033926627314,0.3804801919442536,0,0,0.5,0.36881503687130435
Mauritius,0.8897246801754723,0.8554803564544182,NA,0.4889440897626644,0.7725375970692915,0,0,NA,0.025400118869935703
Mexico,0.6330354133434335,0.7369942475594918,0.1622319192788646,0.7108214936319045,0.6112640744601665,0.5,1,0.5,0.33413369743431415
Micronesia (Federated States of),0.9184909345096717,NA,NA,0.5293513599096831,0.4183900038497031,0,0,NA,NA
Moldova,0.5227940141861583,0.6951293975684817,0.24505149303674265,0.7329090065766517,0.4399430040876851,0.5,0,0.2142857142857143,0.0019226014431990499
Monaco,0.8936014723149988,NA,NA,NA,NA,0,0,NA,0.002447709607782564
Mongolia,0.8121955900387433,0.7704646501202941,NA,0.7048939175574228,0.5108310772432373,0.5,0.6666666666666666,0.28571428571428575,0.7722686485668825
Montenegro,0.6712240970996989,0.6664005907076956,NA,0.6165143275104691,0.5398690015613011,0,0.6666666666666666,NA,2.009983677549916e-4
Morocco,0.45153685926351,0.664543611036043,0.48366496515217583,0.6556579672464578,0.4732524339618866,0,0,0.4285714285714286,0.5264557939409084
Mozambique,0.505061627024505,0.610806769750187,NA,0.7468345860061424,0.38749134633469157,0,0,0.35714285714285715,0.19037582190067992
Myanmar (Burma),0.14713545083647067,0.43665632392357784,0.6591802410518418,0.8464677219123269,0.2510508746328895,0,0,0.35714285714285715,0.36254069697965735
Namibia,0.8431461908737741,0.7619707791752954,NA,0.5282326117957787,0.5314099694044578,0,0,0.4285714285714286,0.50500037223878
Nauru,0.8936186808847508,NA,NA,0.6517529285113981,0.4203056879065736,0,0,NA,NA
Nepal,0.4640000414423466,0.729073774684621,NA,0.7542951222277344,0.3932905279579556,0,0,0.5714285714285715,0.4335041258876754
Netherlands,0.975482199432853,0.9396595182980841,0.35158548525474653,0.10946574543165319,0.903951116355263,0,0.6666666666666666,0,0.6748773070096385
Netherlands Antilles (former),NA,NA,NA,0.34277569756422355,NA,0,0,NA,NA
New Zealand,0.9759924727737456,0.9244468186603204,0.5107773486172713,0.04576437311526402,0.9146326928226665,0.5,1,0,0.6915480366568343
Nicaragua,0.4503457272848975,0.45825601496469254,0.1996795340930718,0.7785291790506863,0.37088113434383935,0,0,0.4285714285714286,0.017534973561506108
Niger,0.48535046666753867,0.7071741838549854,NA,0.737573579695059,0.24019430986671073,0,0,0.35714285714285715,0.03033485614965664
Nigeria,0.4624061546956284,0.6807453342998272,0.3558465315251266,0.8106822083850324,0.3260042977935497,0,0,0.4285714285714286,0.10756447955420394
Niue,NA,NA,NA,0.6769528167806155,0.31132293974778247,0,0,NA,NA
North Korea,NA,0.1554116819539857,NA,0.9620992927195121,0.20325810238823933,0,0,0.28571428571428575,NA
North Macedonia,0.5363601040106368,0.6754953409408921,NA,0.6382892796999068,0.4961262880305806,0.5,0.6666666666666666,0.4285714285714286,0.6119869111629326
Norway,0.9884981216528128,0.9728329402544622,0.5685923939924601,0.09701792919069963,0.9510711288936285,0.5,1,0.14285714285714288,0.774586380953363
Oman,0.15360860020940117,0.43943549633265466,NA,0.5154561694763656,0.4795627437337352,0,0,0.5,0.004398660967023026
Pakistan,0.2973946281171983,0.644859259859438,0.4243187784540935,0.7762212307985554,0.4698931071066279,0.5,0.3333333333333333,0.35714285714285715,0.3494838522503868
Palau,0.9323399833778026,NA,NA,0.6789920519542071,0.4227313267057336,0,0,NA,NA
Palestinian Territories,0.20077672551717615,0.39428541718330734,0.3443951309594521,0.624125759932092,0.2527547775687979,0,0,NA,0.00344295087596897
Panama,0.8532249395777323,0.7767692390455624,NA,0.671222858450278,0.6147116747164685,1,0.6666666666666666,0.35714285714285715,0.6952695728962494
Papua New Guinea,0.539141505643959,0.696968445695676,NA,0.8080516800660347,0.5073115813802741,0,0,0.35714285714285715,0.04272697089490248
Paraguay,0.5249692662986658,0.7065396632707399,NA,0.7885100202760631,0.4646812103570689,1,0.6666666666666666,0.5714285714285715,0.48470267628975916
Peru,0.8062737817093275,0.8201351236417158,0.05966052482921337,0.667904063401525,0.47617633573557,0.5,0.6666666666666666,0.2142857142857143,0.4476090497175025
Philippines,0.5370282736254474,0.7132741478905243,0.6103703102861718,0.7251320936057356,0.5381524367939255,1,0.6666666666666666,0.5714285714285715,0.4395614303632581
Poland,0.8999783559660707,0.8613581609490735,0.23619673892733378,0.4550582793418908,0.635568788195642,0,0,0.35714285714285715,0.614286291887516
Portugal,0.9278893658525218,0.918210012471714,0.33972323246750735,0.36261314502593056,0.7444346199124494,0.5,0.3333333333333333,0,0.7836575177007163
Puerto Rico,0.8840528475700877,NA,0.1482586721978894,0.490514061372655,0.5816266194357168,0,0,NA,NA
Qatar,0.15313107573642198,0.16869772556020501,0.8928500476390527,0.3395590346586861,0.5369014688370661,0,0,0.5,0.7286871782005203
Réunion,NA,NA,NA,0.40058955857075634,0.7335211667994214,0,0,NA,NA
Romania,0.8415005839036253,0.7519249769125489,0.17439386013387576,0.611554396879443,0.6115939547708403,0.5,1,0.14285714285714288,0.6446773606443813
Russia,0.16305272195024173,0.4525015146777272,0.34590258514815797,0.7953742182708952,0.3684331817261425,0,0,0.5,0.7785960613166112
Rwanda,0.13614364728182612,0.45173448234144126,0.6520185181516881,0.526072763354525,0.489996581530217,0,0,0.28571428571428575,0.45162248330469734
Samoa,0.8596698606521738,NA,NA,0.5145022681952683,0.575482463903899,0,0,NA,NA
San Marino,0.931260858929521,NA,NA,NA,NA,0,0,NA,0
São Tomé & Príncipe,0.8144971958158361,0.7877996605555426,NA,0.624690043352091,0.36979583687645173,0,0,NA,0.0075843447307086705
Saudi Arabia,0.06634412097019478,0.16675873512803735,NA,0.5711358074449014,0.4099133457344426,0,0,0.8571428571428572,0.6833472906143496
Senegal,0.720524160952667,0.7756386541719911,NA,0.6407007964232908,0.4920900216706929,0.5,0.3333333333333333,0.35714285714285715,0.2710649869848189
Serbia,0.7925007011196913,0.7036961857100614,0.19710082683927038,0.654087173616973,0.5209383280615495,0.5,0.6666666666666666,0.8571428571428572,0.6942331701693433
Seychelles,0.5470462071411266,0.6528121622100521,NA,0.4682480531534402,0.5800054205571036,0,0,NA,0.005628520383903059
Sierra Leone,0.525503876432702,0.6543314559244213,NA,0.7702705649191597,0.2340153039794343,0.5,0.6666666666666666,0.35714285714285715,0.024254426245558597
Singapore,0.514676896473316,0.5786180938073616,0.6800114570419418,0.08014902437974501,0.8813005687786082,0,0,0.4285714285714286,0.8712678354848019
Slovakia,0.9011062944910295,0.8445914156349272,NA,0.528373826714523,0.7191520165419268,1,0.6666666666666666,0.4285714285714286,0.9904614560722106
Slovenia,0.9113154206264638,0.8762683302260368,0.12972471851918446,0.3775230191803032,0.7455001933130431,0,0,0.28571428571428575,0.8037915668643828
Solomon Islands,0.6146600324854022,0.7044080382645601,NA,0.6548141720139434,0.31317616462586656,0,0,NA,NA
Somalia,0.04381126679152425,0.47337671198100373,NA,0.9712601923275145,0.05185947084441839,0,0,0.5714285714285715,0.020577838099461728
Somaliland,NA,0.6483394737610443,NA,NA,NA,0,0,NA,NA
South Africa,0.8618239215475784,0.8169591052159584,0.5042614344979895,0.5653182664971019,0.7076882146833801,1,1,0.5,0.5375225905782972
South Korea,0.6917763063284583,0.8236590744051199,0.4314245281765595,0.5702015629561386,0.7761562608364867,0.5,0.6666666666666666,0.14285714285714288,0.5250282874293575
South Sudan,0.07634361139108992,0.2933013118588541,NA,0.913632331064692,0.0750854472412997,0,0,0.2142857142857143,0.15099643941193397
Spain,0.9184803952797541,0.9036987440869911,0.3618749084746561,0.3796699636369586,0.7529491540661556,0,0.6666666666666666,0.28571428571428575,0.7626737062304323
Sri Lanka,0.4909946900176396,0.5791151575089337,NA,0.665613488067378,0.5421416919780694,0,0.6666666666666666,1,0.4856150008980225
St. Kitts & Nevis,0.9153928222704925,NA,NA,0.3993643613510302,0.6350779905743931,0,0,NA,NA
St. Lucia,0.9207364646720084,NA,NA,0.358188137366899,0.6153808849235218,0,0,NA,0.00514725645608918
St. Vincent & Grenadines,0.9109342485832227,NA,NA,0.3818212516093529,0.6235105645313467,0,0,NA,0.008371249237038364
Sudan,0.07017224036970851,0.38296305222934734,NA,0.9024787221528215,0.2115712565386058,0,0,0.5,0.01711064095137778
Suriname,0.8389198560123325,0.8118805696618048,NA,0.644443137017302,0.55676404597809,0,0,NA,0.00538693581830243
Sweden,0.9802346234350885,0.9583739733567679,0.5293943825124502,0.0672303223132317,0.9569298491004528,0.5,1,0.14285714285714288,0.0012323085002964014
Switzerland,0.9783848424831981,0.941080067392852,0.5585218191992445,0.09508841163601424,0.943092842245989,0,0,0,0.7155409312878749
Syria,0.05778171986992853,0.1814648816057314,NA,0.8682500079701032,0.18526136817647465,0,0,NA,0.015168894537169589
Taiwan,0.8927046296386419,0.8236716130303889,0.32937332282210996,0.39858245598387243,0.7805522879569188,0,0,0,0.1718014021864961
Tajikistan,0.09984052918644969,0.3090567694337385,0.8654728368774065,0.8417309925553323,0.18658423182761036,0,0,0.4285714285714286,0.020864867661981895
Tanzania,0.5081576747504835,0.740479114510387,NA,0.7101487517882737,0.4277201021415205,0,0,0.4285714285714286,0.14989439084728304
Thailand,0.3430092150132181,0.537214845563305,0.5221998818253364,0.6715410135657224,0.5723102427289366,0,0,0.35714285714285715,0.3807194681557905
Timor-Leste,0.593484170804936,0.7121369307822989,NA,0.7347119768249704,0.6906110720079078,0,0,NA,NA
Togo,0.39326039999497586,0.557384747758248,NA,0.7734122377555275,0.16980497798975705,0,0,0.28571428571428575,0.30754991808099424
Tonga,0.7030321884711153,NA,NA,0.6954181334128663,0.45819608434234416,0,0,NA,NA
Trinidad & Tobago,0.8518641150249694,0.8277602535504782,0.2953291153584527,0.6426276668516715,0.6468425998379342,0.5,0.3333333333333333,NA,0.42457118257387894
Tunisia,0.4644462469516725,0.6476469213768699,0.16007745770414372,0.608385960816986,0.5023750270761363,0,0.6666666666666666,0.5,0.22290246791501875
Turkey,0.4596026344164547,0.597334315376485,0.5779902164440899,0.5909563260825061,0.5993070838920216,0,0,0.7142857142857143,0.6812811354276799
Turkmenistan,0.019186410713628015,0.18952404409470722,NA,0.8938406508417673,0.16735217145371006,0,0,0.4285714285714286,NA
Tuvalu,0.8950704243262689,NA,NA,0.5988764394525712,0.3792207539723774,0,0,NA,NA
U.S. Virgin Islands,NA,NA,NA,0.40058955857075634,0.7636174057534306,0,0,NA,NA
Uganda,0.39607262568001844,0.6118572083335799,NA,0.7938112234158989,0.3851716364644241,0,0,0.8571428571428572,0.24649832569461627
Ukraine,0.6184657222596149,0.6459734842944208,0.20119952237656782,0.7841106490119285,0.4226791505378081,0.5,0.6666666666666666,0.2142857142857143,0.5443166554893343
United Arab Emirates,0.16183588640983268,0.3770797900140023,NA,0.32789832164046284,0.5688533585211021,0,0,0.2142857142857143,0.9953914430160349
United Kingdom,0.9481086647340976,0.9021016391726648,NA,0.17948367772404283,0.8187520963960934,1,1,0.2142857142857143,0.8576084338928119
United States,0.9206507097593472,0.9061265379798947,0.3578684747215494,0.26079661560994616,0.8061249751813354,0.5,1,0.4285714285714286,0.8180894018344388
Uruguay,0.9239980427559064,0.9117021729875713,0.44422888590192944,0.2841499028091684,0.7588489756668904,0,0.6666666666666666,0.2142857142857143,0.641603304584325
Uzbekistan,0.044176612169639085,0.255615734105116,0.946350524375872,0.8574661754523613,0.24776728588424166,0,0,0.35714285714285715,0.016307568930472582
Vanuatu,0.8501191628415602,0.8108610742262532,NA,0.5718101791342862,0.42035111878012565,0,0,NA,NA
Venezuela,0.3586872680879108,0.4192925371385545,NA,0.8729839476966451,0.3124626124780687,0,0,0.9285714285714287,0.011355652630695157
Vietnam,0.10815350667027504,0.45009775520745887,0.9058080891364411,0.721745876917209,0.44409680927983647,0,0,0.2142857142857143,0.2934882874038554
Yemen,0.1812905439662256,0.4307644279134236,0.17038671116396362,0.8662087019939659,0.17397282254122323,0,0,NA,0.031209556631142447
Zambia,0.5095657546303638,0.6910512907467421,0.4210150138930358,0.6916476341365478,0.4426580815525746,0,0,0.4285714285714286,0.4060366649684771
Zanzibar,NA,0.5452002355664559,NA,NA,NA,0,0,NA,NA
Zimbabwe,0.17109309306087156,0.4892166196130758,0.42770449908589814,0.8607570352686604,0.19841579880787466,0,0,0.5,0.27945036014180774
