country_standard,gdp,gdp_per_capita,gini_2020,percap_domestic_health_expenditure,median_age,aged_65_older
Hungary,163469042867.956,26777.561,0.663,747.5319214,43.4,18.577
Iceland,24188038473.5438,46482.958,0.694,5379.646484,37.3,14.431
India,2868929415617.02,6426.674,0.832,19.63145256,28.2,5.989
Indonesia,1119190780752.8,11188.744,0.833,55.08996582,29.3,5.319
Iran,453996479250.212,19082.62,0.705,222.4209595,32.4,5.44
Iraq,234094042938.917,15663.986,0.633,115.2330093,20,3.186
Ireland,388698711348.156,67335.293,0.796,4055.941162,38.7,13.928
Israel,394652210295.849,33132.32,0.777,2150.538818,30.6,11.733
Italy,2003576145498.04,35220.084,0.669,2208.520264,47.9,23.021
Jamaica,16458071067.8176,8193.571,0.775,208.4400177,31.4,9.684
Japan,5081769542379.77,39002.223,0.626,3587.73877,48.2,27.049
Jordan,44502895861.6837,8337.49,0.696,162.3544159,23.2,3.81
Kazakhstan,181665908556.499,24055.588,0.772,167.8211365,30.6,6.991
Kenya,95503088538.092,2993.028,0.745,37.2430191,20,2.686
Kuwait,134628542746.97,65530.537,0.763,1506.605835,33.7,2.345
Kyrgyzstan,8454619607.81795,3393.474,0.681,36.72362518,26.3,4.489
Laos,18173839147.4011,6397.36,0.794,22.10001755,24.4,4.029
Latvia,34102913582.4235,25063.846,0.789,657.7670288,43.9,19.754
Lebanon,51991634491.6345,13367.565,0.819,343.3811646,31.1,8.514
Lesotho,2376328637.26318,2851.153,0.805,72.45595551,22.2,4.506
Liberia,3070518100,752.788,0.727,11.42816257,19.2,3.057
Libya,52091152228.3425,17881.509,0.659,196.1343689,29,4.424
Liechtenstein,6876981286.43011,NA,NA,NA,NA,NA
Lithuania,54627411860.4705,29524.265,0.663,822.8288574,43.5,19.002
Luxembourg,71104919108.1411,94277.965,0.67,5288.111816,39.7,14.312
Madagascar,14114631280.6774,1416.44,0.722,7.87874842,19.6,2.929
Malawi,7666704427.00915,1095.042,0.751,10.25176048,18.1,2.979
Malaysia,364681367531.684,26808.164,0.796,218.6548004,29.9,6.293
Maldives,5642179170.45898,15183.616,0.724,687.5372925,30.6,4.12
Mali,17279566718.6087,2014.306,0.707,9.86327934,16.4,2.519
Malta,14989415684.1203,36513.323,0.64,1747.868408,42.4,19.426
Marshall Islands,221278000,3819.202,NA,279.2547302,NA,NA
Mauritania,7600656943.97506,3597.633,0.681,19.54978752,20.3,3.138
Mauritius,14048430518.5561,20292.745,0.662,281.9010925,37.4,10.945
Mexico,1268870527160.03,17336.469,0.777,260.1742859,29.3,6.857
Moldova,11968713370.4969,5189.972,0.645,120.3836746,37.6,10.864
Monaco,7188238072.74445,NA,NA,2544.510254,NA,NA
Mongolia,13996719329.4097,11840.846,0.668,91.00946808,28.6,4.031
Montenegro,5542577964.981461,16409.288,0.648,438.997467,39.1,14.762
Morocco,119700325461.938,7485.013,0.766,70.24705505,29.6,6.769
Mozambique,15291448211.603,1136.103,0.716,8.52427864,17.7,3.158
Myanmar (Burma),76085852617.1371,5591.597,0.597,8.77954292,29.1,5.732
Namibia,12366528259.1844,9541.808,0.788,217.1618652,22,3.552
Nepal,30641380603.9699,2442.804,0.71,14.48920441,25,5.809
Netherlands,907050863145.097,48472.545,0.902,3444.80835,43.2,18.779
New Zealand,206928765543.935,36085.843,0.672,3021.2771,37.9,15.322
Nicaragua,12520915291.1837,5321.444,0.759,103.9360046,27.3,5.445
Niger,12911689659.351,926,0.682,10.07909298,15.1,2.553
Nigeria,448120428858.769,5338.454,0.809,12.45123196,18.1,2.751
North Macedonia,12547040498.9077,13111.214,NA,228.7698669,39.1,13.26
Norway,403336363636.364,64800.057,0.798,7029.852539,39.7,16.821
Oman,76331518668.5771,37960.709,0.786,594.5289307,30.7,2.355
Pakistan,278221906022.841,5034.708,0.665,15.23525143,23.5,4.495
Palestinian Territories,16276600000,4449.898,NA,NA,20.4,3.043
Panama,66800800000,22267.037,0.78,723.1566773,29.7,7.918
Papua New Guinea,24829107011.0701,3823.194,0.766,44.66556931,22.6,3.808
Paraguay,38145288939.8488,8827.01,0.768,175.2063751,26.5,6.378
Peru,226848050819.525,12236.706,0.788,231.0983734,29.1,7.151
Philippines,376795508678.853,7599.188,0.837,44.58437729,25.2,4.803
Poland,595858207011.5121,27216.445,0.677,695.748169,41.8,16.763
Portugal,238785085030.988,27936.896,0.692,1361.255127,46.2,21.502
Qatar,175837550996.185,116935.6,0.633,1281.521362,31.9,1.307
Romania,250077444017.084,23313.199,0.647,547.6779175,43,17.85
Russia,1699876578871.35,24765.954,0.879,362.0960083,39.6,14.178
Rwanda,10354417725.1555,1854.211,0.742,18.35476875,20.3,2.974
Samoa,852250190.985485,6021.557,0.747,164.1419067,22,5.606
San Marino,1655300872.53427,56861.47,NA,2907.131836,NA,NA
São Tomé & Príncipe,418637388.988052,3052.714,0.674,55.12792206,18.7,2.886
Saudi Arabia,792966838161.659,49045.411,0.834,926.9506836,31.9,3.295
Senegal,23578084052.0147,2470.58,0.726,14.00303841,18.7,3.008
Serbia,51475016532.1293,14048.881,0.676,366.3521118,41.2,17.366
Seychelles,1703387387.32319,26382.287,NA,620.3916016,36.2,8.606
Sierra Leone,4121733705.29165,1390.3,0.694,8.33168507,19.1,2.538
Singapore,372062527488.6379,85535.383,0.757,1421.570923,42.4,12.922
Slovakia,105079673009.733,30155.152,0.498,1030.038208,41.2,15.07
Slovenia,54174227308.8862,31400.84,0.662,1570.967896,44.5,19.062
Solomon Islands,1589913622.23799,2205.923,0.7,75.07428741,20.8,3.507
Somalia,NA,NA,NA,NA,16.8,2.731
South Africa,351431649241.439,12294.876,0.806,284.2776489,27.3,5.344
South Korea,1646739219509.89,35938.374,0.67,1486.450073,43.4,13.914
South Sudan,11997800760.2242,1569.888,NA,2.88673401,19.2,3.441
Spain,1393490524517.64,34272.36,0.694,1926.46106,45.5,19.436
Sri Lanka,84008783756.068,11669.077,0.7,64.70568085,34.1,10.069
St. Kitts & Nevis,1053244444.44444,24654.385,NA,461.7450256,NA,NA
St. Lucia,2122450629.62963,12951.839,0.729,219.591507,34.9,9.721
St. Vincent & Grenadines,824718518.518518,10727.146,0.818,224.6751709,31.8,7.724
Sudan,30513456084.7961,4466.507,0.687,13.74672318,19.7,3.548
Suriname,3697371949.58434,13767.119,0.832,312.5957642,29.6,6.933
Sweden,530883869004.9771,46949.283,0.867,5089.962891,41,19.985
Switzerland,703082435158.864,57410.166,0.705,3081.69751,43.1,18.436
Syria,NA,NA,0.699,31.62370872,21.7,NA
Taiwan,NA,NA,0.751,NA,42.2,NA
Tajikistan,8116626794.25837,2896.913,0.656,16.18490219,23.3,3.466
Tanzania,63177068174.549,2683.304,0.661,15.81463623,17.7,3.108
Thailand,543548969968.693,16277.671,0.846,210.4487305,40.1,11.373
Timor-Leste,2017924900,6570.102,0.565,56.8204689,18,3.556
Togo,5490272413.38702,1429.813,0.734,7.12986135,19.4,2.839
Trinidad & Tobago,24269714809.9078,28763.071,0.732,553.7059937,36.2,10.014
Tunisia,38796687568.15701,10849.297,0.705,144.3083038,32.7,8.001
Turkey,761425499358.159,25129.341,0.794,301.6868286,31.6,8.153
Uganda,35165157016.9125,1697.707,0.729,6.82905865,16.4,2.168
Ukraine,153781069118.148,7894.393,0.847,109.4968643,41.4,16.462
United Arab Emirates,421142267937.65,67293.483,0.796,937.3599854,34,1.144
United Kingdom,2829108219165.8,39753.244,0.746,3392.085938,40.8,18.517
United States,21433226000000,54225.446,0.48,5355.787109,38.3,15.413
Uruguay,56045912952.9732,20551.409,0.721,1160.208984,35.6,14.655
Uzbekistan,57921286440.3495,6253.104,NA,31.40143394,28.2,4.469
Vanuatu,934239973.8125731,2921.909,0.688,66.89446259,23.1,4.394
Vatican City,NA,NA,NA,NA,NA,NA
Venezuela,482359318767.7029,16745.022,0.743,122.9424133,29,6.614
Vietnam,261921244843.172,6171.884,0.761,69.10861206,32.6,7.15
Yemen,22581081993.945,1479.147,0.798,7.45118046,20.3,2.922
Zambia,23309773922.7582,3689.251,0.798,29.70040321,17.7,2.48
Zimbabwe,21440758800,1899.775,0.719,39.2492218,19.6,2.822
North Korea,NA,NA,NA,NA,NA,NA
Turkmenistan,40761142857.1429,NA,0.63,83.38689423,NA,NA
NA,NA,NA,NA,661.5622108,NA,NA
