country_standard,year,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,cum_eoy_total_cases,cum_eoy_total_deaths,cum_eoy_total_cases_per_million,cum_eoy_total_deaths_per_million,cum_eoy_total_tests,cum_eoy_total_tests_per_thousand,cum_eoy_total_vaccinations,cum_eoy_people_vaccinated,cum_eoy_people_fully_vaccinated,cum_eoy_total_vaccinations_per_hundred,cum_eoy_people_vaccinated_per_hundred,cum_eoy_people_fully_vaccinated_per_hundred,annual_total_cases,annual_total_deaths,annual_total_cases_per_million,annual_total_deaths_per_million,annual_total_tests,annual_total_tests_per_thousand,annual_total_vaccinations,annual_people_vaccinated,annual_people_fully_vaccinated,annual_total_vaccinations_per_hundred,annual_people_vaccinated_per_hundred,annual_people_fully_vaccinated_per_hundred,cum_total_cases,cum_total_deaths,cum_total_cases_per_million,cum_total_deaths_per_million,cum_total_tests,cum_total_tests_per_thousand,cum_total_vaccinations,cum_people_vaccinated,cum_people_fully_vaccinated,cum_total_vaccinations_per_hundred,cum_people_vaccinated_per_hundred,cum_people_fully_vaccinated_per_hundred,eiu_overall_score,eiu_electoral,eiu_gov_func,eiu_pol_part,eiu_pol_culture,eiu_civil_liberties,eiu_score_change,eiu_regime_type,cpi_score,ogp_participation_fisc_open,ogp_transparency_fisc_open,ogp_participating,ogp_trans_text,ogp_part_text,code,wgi_voice_and_accountability,wgi_control_of_corruption,wgi_govt_effective,vdem_v2x_libdem,vdem_v2x_partipdem,vdem_v2x_cspart,country_id,vdem_transparent_laws,vdem_accountability_index,vdem_vertical_account,vdem_diagonal_account,vdem_horizontal_account,vdem_corruption_index,vdem_exec_corruption,vdem_public_sector_corruption,iso_code,pandem,panback,fh_global_freedom_score,percap_domestic_health_expenditure,percap_domestic_health_expenditure_ppp,gdp,gdp_percap,gdp_percap_ppp,gini,wvs_trust_parliament,wvs_trust_gov,wvs_trust_court,wvs_trust_elect,wvs_corruption,afr_int_citizens_can_access_the_results_,afr_int_citizens_have_a_right_to_request,afr_int_citizen_requests_for_public_info,afr_int_citizens_can_access_legislative_,afr_int_senior_officials_of_the_three_br,afr_int_political_parties_are_required_t,afr_int_corruption_is_criminalized_as_a_,afr_int_the_body_bodies_that_investigate,afr_int_civil_servants_who_report_cases_,afr_int_there_is_an_independent_body_bod,afr_int_iso_code,post_covid
Dominican Republic,2020,69172.30392156863,558.1209150326797,557.0802059800665,1310.7620689655173,8.324137931034484,7.994282392026578,6376.559369281045,51.449630718954246,51.35373089700997,120.83092413793104,0.767303448275862,0.7369169435215946,1.1232631578947367,NA,NA,NA,NA,NA,NA,NA,NA,3019.543165467626,331550.7429577465,30.56357042253521,0.27839208633093526,3057.0851063829787,0.281822695035461,0.20601418439716312,5.474468085106383,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.64287581699347,10847904,222.873,27.6,6.981,4.419,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,170785,2414,15743.594,222.531,876244,80.775,NA,NA,NA,NA,NA,NA,170785,2414,15743.594,222.531,876244,80.775,NA,NA,NA,NA,NA,NA,244168,3198,22508.311,294.803,1227215,113.129,547091,547091,NA,5.04,5.04,NA,63.2,91.7,42.9,61.1,50,70.6,-2.2,Flawed democracy,28,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Ecuador,2020,92305.84967320261,694.4836601307189,698.3972591362126,7042.761092150171,47.89761092150171,46.520189368770765,5231.850359477125,39.36297385620915,39.584794019933554,399.1802423208191,2.71481228668942,2.6367441860465117,1.1166319444444444,NA,NA,NA,NA,NA,NA,NA,NA,2466.1099290780144,264688.1473684211,15.00239649122807,0.1398014184397163,2486.1762589928057,0.14092446043165469,0.23670642201834863,4.347706422018349,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.82637254901961,17643060,66.939,28.1,7.104,4.458,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759,212512,14034,12045.076,795.44,700284,39.692,NA,NA,NA,NA,NA,NA,212512,14034,12045.076,795.44,700284,39.692,NA,NA,NA,NA,NA,NA,296841,16105,16824.803,912.824,980854,55.594,75258,69030,6228,0.43,0.39,0.04,61.3,87.5,50,66.7,37.5,64.7,-2,Flawed democracy,39,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.1166648,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Egypt,2020,65246.82919254658,428.7639751552795,422.6300283911672,3804.418060200669,25.52173913043478,23.550703470031547,637.5845093167702,4.1898416149068325,4.12991167192429,37.17633779264214,0.24938795986622073,0.23012933753943218,1.1094178082191781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.65003105590062,102334403,97.999,25.3,5.159,2.891,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,138062,7631,1349.126,74.569,NA,NA,NA,NA,NA,NA,NA,NA,138062,7631,1349.126,74.569,NA,NA,NA,NA,NA,NA,NA,NA,188361,11128,1840.642,108.742,NA,NA,1315,NA,NA,0,NA,NA,29.3,13.3,32.1,33.3,50,17.6,-1.3,Authoritarian,33,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.146832,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,50,NA,NA,EGY,TRUE
El Salvador,2020,18747.069444444445,159.58333333333334,159.81624381625443,554.7536231884058,4.807971014492754,4.629491166077739,2890.30040625,24.603524305555556,24.639427561837454,85.52827898550724,0.741304347826087,0.7137491166077738,1.1203007518796992,NA,NA,NA,NA,NA,NA,NA,NA,2322.177570093458,252898.31718061675,38.990198237885465,0.3579859813084112,2368.860557768924,0.36525099601593625,0.06988446215139442,21.751792828685257,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.45920138888889,6486201,307.811,27.6,8.273,5.417,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,45960,1327,7085.812,204.588,609398,93.953,NA,NA,NA,NA,NA,NA,45960,1327,7085.812,204.588,609398,93.953,NA,NA,NA,NA,NA,NA,61677,1929,9508.956,297.401,717882,110.678,16000,16000,NA,0.25,0.25,NA,59,91.7,42.9,61.1,37.5,61.8,-2.5,Hybrid regime,36,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.475659933333333,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Equatorial Guinea,2020,3218.917808219178,18.07191780821918,18.28969337979094,60.23622047244095,0.33858267716535434,0.29866550522648083,2294.335126712329,12.881058219178081,13.036233449477352,42.93447244094488,0.24134251968503936,0.21286062717770035,0.5088446215139443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1402985,45.194,22.4,2.846,1.752,NA,202.812,7.78,NA,NA,24.64,2.1,58.74,0.592,5277,86,3761.266,61.298,NA,NA,NA,NA,NA,NA,NA,NA,5277,86,3761.266,61.298,NA,NA,NA,NA,NA,NA,NA,NA,6371,96,4541.032,68.426,NA,NA,NA,NA,NA,NA,NA,NA,19.2,0,4.3,33.3,43.8,14.7,0,Authoritarian,16,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,GNQ,TRUE
Eritrea,2020,302.013986013986,4.615384615384615,3.988829181494662,1.2,0.3,0.004580071174377223,85.16006293706293,1.3014475524475524,1.124747330960854,0.3384,0.0846,0.001284697508896797,0.5332160804020101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.1401048951049,3546427,44.304,19.3,3.607,2.171,NA,311.11,6.05,0.2,11.4,NA,0.7,66.32,0.459,1320,3,372.206,0.846,NA,NA,NA,NA,NA,NA,NA,NA,1320,3,372.206,0.846,NA,NA,NA,NA,NA,NA,NA,NA,2988,7,842.538,1.974,NA,NA,NA,NA,NA,NA,NA,NA,21.5,0,21.400000000000002,5.6000000000000005,68.8,11.799999999999999,-2.2,Authoritarian,21,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.0142272,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,ERI,TRUE
Estonia,2020,4394.417475728155,90.58252427184466,85.68281907894738,73.87588652482269,0.8120567375886525,0.7044638157894737,3312.6937443365696,68.28488673139158,64.5912302631579,55.69067021276596,0.6122163120567375,0.5310328947368421,1.1076712328767124,7.180645161290323,5.413112903225806,70.38263665594856,53.05737942122187,6.20275,4.675892857142857,43.752880952380956,32.98278571428572,2065.9611650485435,199360.5,150.28618387096773,1.5573948220064724,2060.181518151815,1.553046204620462,0.02771947194719472,142.5957095709571,878.5,NA,NA,566.6666666666666,404.6666666666667,0.0675,NA,NA,305,38.48286173633441,1326539,31.033,42.7,19.452,13.491,0.5,255.569,4.02,24.5,39.3,NA,4.69,78.74,0.892,27990,229,21100.02,172.63,638395,481.249,1907,NA,NA,0.14,NA,NA,27990,229,21100.02,172.63,638395,481.249,1907,NA,NA,0.14,NA,NA,78973,677,59533.116,510.351,988077,744.853,155175,109865,45310,11.7,8.28,3.42,78.4,95.8,78.60000000000001,66.7,68.8,82.4,-0.6,Flawed democracy,75,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Eswatini,2020,3179.9419795221843,31.938566552901023,30.327864583333334,67.71923076923076,0.7884615384615384,0.6017291666666666,2740.941771331058,27.529368600682595,26.140993055555555,58.370465384615386,0.6796461538461538,0.5185798611111111,1.0950204081632653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.00883959044369,1160164,79.492,21.5,3.163,1.845,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,9358,205,8066.101,176.699,NA,NA,NA,NA,NA,NA,NA,NA,9358,205,8066.101,176.699,NA,NA,NA,NA,NA,NA,NA,NA,17203,658,14828.076,567.161,NA,NA,NA,NA,NA,NA,NA,NA,30.8,9.200000000000001,28.599999999999998,27.799999999999997,56.3,32.400000000000006,-3,Authoritarian,33,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Ethiopia,2020,43648.58163265306,422.6666666666667,425.9994982698962,739.1439114391144,7.095940959409594,6.610519031141869,379.6731326530612,3.6765204081632654,3.705532871972318,6.429339483394834,0.06170110701107011,0.057460207612456744,1.0808560311284048,NA,NA,NA,NA,NA,NA,NA,NA,6496.12274368231,755414.5669014085,6.5709260563380285,0.05651263537906137,6219.6376306620205,0.05409407665505227,0.057170731707317075,55.34350877192983,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.9539455782313,114963583,104.957,19.8,3.526,2.063,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,124264,1923,1080.899,16.727,1800236,15.659,NA,NA,NA,NA,NA,NA,124264,1923,1080.899,16.727,1800236,15.659,NA,NA,NA,NA,NA,NA,169878,2466,1477.668,21.45,2178403,18.949,NA,NA,NA,NA,NA,NA,33.8,4.2,35.699999999999996,55.599999999999994,50,23.5,-0.6,Authoritarian,38,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.0580096,0,NA,NA,NA,NA,NA,NA,2.487619047619048,2.8065843621399176,2.7367109634551494,2.5942028985507246,2.3509212730318256,25,NA,0,0,NA,NA,NA,50,NA,NA,ETH,TRUE
Fiji,2020,26.5625,0.1701388888888889,0.163113074204947,1.8246753246753247,0.012987012987012988,0.007074204946996466,29.630989583333335,0.1898263888888889,0.1818268551236749,2.035512987012987,0.014493506493506494,0.007865724381625442,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.38197424892704,7536.6518518518515,8.407288888888889,0.0818755364806867,63.57575757575758,0.07094545454545455,0.005141342756183746,322.3900826446281,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.405756676557864,896444,49.562,28.6,6.224,3.284,1.4,412.82,14.49,10.2,34.8,NA,2.3,67.44,0.743,49,2,54.66,2.231,21365,23.833,NA,NA,NA,NA,NA,NA,49,2,54.66,2.231,21365,23.833,NA,NA,NA,NA,NA,NA,66,2,73.624,2.231,32164,35.88,NA,NA,NA,NA,NA,NA,57.199999999999996,65.8,50,61.1,56.3,52.9,-1.3,Hybrid regime,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Finland,2020,9532.624260355029,106.82544378698225,105.94724624624625,310.90909090909093,1.9615384615384615,1.6237927927927929,1720.4673047337278,19.280068047337277,19.121603603603603,56.1135,0.3539440559440559,0.2931081081081081,1.0917064846416382,23.949152542372882,4.322310734463277,106.1864406779661,19.164762711864405,NA,NA,NA,NA,8133.957792207792,757483.2103559871,136.71211326860842,1.4680487012987014,8170.26821192053,1.4746291390728477,0.019672185430463576,190.78079470198676,1767,NA,NA,NA,NA,0.03,NA,NA,NA,40.60269230769231,5540718,18.136,42.8,21.228,13.264,NA,153.507,5.76,18.3,22.6,NA,3.28,81.91,0.938,36107,561,6516.664,101.25,2505268,452.156,1767,NA,NA,0.03,NA,NA,36107,561,6516.664,101.25,2505268,452.156,1767,NA,NA,0.03,NA,NA,63889,776,11530.816,140.054,3460751,624.603,600476,515218,85258,10.84,9.3,1.54,92,100,89.3,88.9,87.5,94.1,-0.5,Full democracy,85,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
France,2020,609229.9300291545,7806.606413994169,7783.091281065089,28923.8785046729,201.74143302180684,188.00294970414203,9333.49395335277,119.59837609329446,119.2381449704142,443.1181557632399,3.0906915887850466,2.880218934911243,1.2095424836601307,2067.846153846154,31.679717948717947,14611.258785942491,223.84667412140575,949.513,14.546666666666667,5659.378928571428,86.70252380952381,153966.4806866953,NA,NA,2.3587982832618026,153120.43171806168,2.345788546255507,0.05175330396475771,37.98898678414097,151.2,151.2,NA,75.75,63,0,0,NA,1,58.0469970845481,65273512,122.578,42,19.718,13.079,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901,2677666,64759,41022.245,992.118,NA,NA,316,316,NA,0,0,NA,2677666,64759,41022.245,992.118,NA,NA,316,316,NA,0,0,NA,4022429,89707,61624.216,1374.325,NA,NA,6197209,4164418,2032791,9.14,6.14,3,79.9,95.8,75,77.8,68.8,82.4,-1.3,Flawed democracy,69,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.0679644,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Gabon,2020,5838.60409556314,32.665529010238906,33.05948263888889,39.184668989547035,0.2229965156794425,0.22231944444444443,2623.2333924914674,14.676317406143344,14.853364583333333,17.605243902439025,0.10018466898954705,0.09979861111111112,1.151201550387597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.47081911262798,2225728,7.859,23.1,4.45,2.976,3.4,259.967,7.2,NA,NA,NA,6.3,66.47,0.703,9571,64,4300.166,28.755,NA,NA,NA,NA,NA,NA,NA,NA,9571,64,4300.166,28.755,NA,NA,NA,NA,NA,NA,NA,NA,16313,93,7329.287,41.784,NA,NA,NA,NA,NA,NA,NA,NA,35.4,25.8,18.6,44.400000000000006,50,38.199999999999996,-0.7,Authoritarian,30,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.149333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,GAB,TRUE
Gambia,2020,1744.751724137931,13.093103448275862,13.310312280701755,57.102112676056336,0.43661971830985913,0.4331473684210526,721.967,5.417875862068965,5.507708771929825,23.628605633802817,0.18069014084507043,0.1791578947368421,0.8820121951219513,NA,NA,NA,NA,NA,NA,NA,NA,133.16593886462883,11700.930131004367,4.841772925764192,0.05512227074235808,106.80141843971631,0.04419503546099291,0.07455673758865249,59.57706766917293,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.42468965517241,2416664,207.566,17.5,2.339,1.417,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,3797,124,1571.174,51.31,30495,12.619,NA,NA,NA,NA,NA,NA,3797,124,1571.174,51.31,30495,12.619,NA,NA,NA,NA,NA,NA,4792,153,1982.899,63.31,47494,19.653,NA,NA,NA,NA,NA,NA,44.900000000000006,40,42.9,44.400000000000006,56.3,41.2,1.6,Hybrid regime,37,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.0993276,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,25,75,NA,NA,NA,25,NA,NA,GMB,TRUE
Georgia,2020,29911.670967741935,733.6129032258065,730.8857344262295,326.3382352941176,9.209558823529411,7.910613114754098,7498.209780645161,183.90086774193549,183.2172426229508,81.80595220588235,2.3086360294117645,1.9830393442622951,1.151304347826087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.77564516129033,3989175,65.032,38.7,14.864,10.244,4.2,496.218,7.11,5.3,55.5,NA,2.6,73.77,0.812,227420,2505,57009.281,627.949,NA,NA,NA,NA,NA,NA,NA,NA,227420,2505,57009.281,627.949,NA,NA,NA,NA,NA,NA,NA,NA,273650,3613,68598.144,905.701,NA,NA,NA,NA,NA,NA,NA,NA,53.099999999999994,78.3,35.699999999999996,61.1,37.5,52.9,-1.1,Hybrid regime,56,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.0333312,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Germany,2020,345007.87941176473,5178,5033.698047761194,9855.238255033557,113.39261744966443,93.92580895522389,4117.828070588235,61.80180294117647,60.0795223880597,117.62680872483222,1.3534127516778525,1.1210716417910447,1.2005901639344263,1522.871080139373,18.17616724738676,NA,NA,NA,NA,3024.237833333333,36.095666666666666,NA,12686444.142857144,151.41861904761905,NA,122753.90175438597,1.465136842105263,0.04230952380952381,61.7,95078.6,95078.6,NA,39503.75,32185.25,0.114,0.114,NA,384,55.867029411764705,83783945,237.016,46.6,21.453,15.957,NA,156.139,8.31,28.2,33.1,NA,8,81.33,0.947,1760520,33791,21012.618,403.311,35166990,419.734,181584,181584,NA,0.22,0.22,NA,1760520,33791,21012.618,403.311,35166990,419.734,181584,181584,NA,0.22,0.22,NA,2541781,72858,30337.328,869.594,45049772,537.69,8431264,5756572,2674692,10.06,6.87,3.19,86.7,95.8,82.10000000000001,83.3,81.30000000000001,91.19999999999999,-0.1,Full democracy,80,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Ghana,2020,29590.296928327643,186.93174061433447,189.19989930555556,185.5734265734266,1.1713286713286712,1.159298611111111,952.2849146757679,6.0159146757679185,6.08890625,5.972202797202797,0.037657342657342656,0.03728819444444444,1.1609642857142857,NA,NA,NA,NA,NA,NA,NA,NA,2385.7713004484303,406068.81707317074,13.068231707317073,0.07678026905829596,2357.2897526501765,0.07584805653710247,0.08186219081272085,24.586219081272084,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.56119453924914,31072945,126.719,21.1,3.385,1.948,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,54771,335,1762.659,10.781,672364,21.638,NA,NA,NA,NA,NA,NA,54771,335,1762.659,10.781,672364,21.638,NA,NA,NA,NA,NA,NA,86737,656,2791.399,21.112,921378,29.652,300000,300000,NA,0.97,0.97,NA,65,83.3,53.6,66.7,62.5,58.8,-1.3,Flawed democracy,43,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.158890666666667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,25,100,NA,NA,NA,50,NA,NA,GHA,TRUE
Greece,2020,25733.74193548387,447.9032258064516,447.34330163934425,704.4324324324324,16.344594594594593,15.313344262295082,2468.9248838709677,42.97234193548387,42.918645901639344,67.58408783783784,1.5681925675675676,1.4692196721311475,1.1097610921501706,NA,NA,NA,NA,62.23553488372093,5.970953488372093,641.8302162162162,61.57794594594595,11924.556910569107,1005218.9107806692,96.44187360594796,1.1440528455284553,11128.05723905724,1.0676632996632998,0.03114141414141414,115.72323232323232,1396.25,1396.25,NA,630.6666666666666,633,0.0125,0.0125,NA,60.666666666666664,62.09178343949045,10423056,83.479,45.3,20.396,14.524,1.5,175.695,4.55,35.3,52,NA,4.21,82.24,0.888,138850,4838,13321.429,464.163,3382488,324.52,2339,2339,NA,0.02,0.02,NA,138850,4838,13321.429,464.163,3382488,324.52,2339,2339,NA,0.02,0.02,NA,212091,6886,20348.255,660.651,5534478,530.984,1190723,807280,383443,11.42,7.75,3.68,73.89999999999999,95.8,52.1,61.1,75,85.3,-0.4,Flawed democracy,50,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.2055368,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Grenada,2020,29.143859649122806,0.4456140350877193,0.423525,NA,NA,0,259.0127157894737,3.960326315789474,3.7635785714285714,NA,NA,0,0.15818181818181817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112519,317.132,29.4,7.304,5.021,NA,243.964,10.71,NA,NA,NA,3.7,72.4,0.779,127,NA,1128.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,1128.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,1,1315.333,8.887,NA,NA,146,146,NA,0.13,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Guatemala,2020,56344.98976109215,471.03071672354946,472.44544097222223,2018.1477663230241,16.539518900343644,16.594753472222223,3145.0296655290103,26.29169965870307,26.37070486111111,112.6477147766323,0.9232096219931272,0.9262847222222222,1.1142264150943397,NA,NA,NA,NA,NA,NA,NA,NA,2018.0622950819672,204723.9180327869,11.427160655737705,0.11265245901639344,1940.099358974359,0.10833333333333334,0.21668055555555554,6.136111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.74981191222571,17915567,157.834,22.9,4.694,3.016,8.7,155.898,10.18,NA,NA,76.665,0.6,74.3,0.663,138012,4813,7703.468,268.649,615509,34.356,NA,NA,NA,NA,NA,NA,138012,4813,7703.468,268.649,615509,34.356,NA,NA,NA,NA,NA,NA,180393,6522,10069.065,364.041,945703,52.787,2427,2427,NA,0.01,0.01,NA,49.699999999999996,69.2,39.300000000000004,50,31.299999999999997,58.8,-2.9,Hybrid regime,25,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.2072928,0.5,NA,NA,NA,NA,NA,NA,1.6234413965087282,1.6799667497921862,1.831255195344971,1.7290108063175396,1.8669991687448046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
